,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
1248,1211004244356917,37,03 year(s) 00 month(s) 22 day(s),L1,Foster Foster Home,Available,L1,F,A0059061547,-
1249,1211004244356925,37,03 year(s) 00 month(s) 22 day(s),L1,Foster Foster Home,Available,L1,F,A0059061547,-
1250,1211004241363846,26,00 year(s) 06 month(s) 20 day(s),L1,Dogs 303 B6,Available,L1,M,A0059062583,-
1251,1211004244366102,26,00 year(s) 06 month(s) 20 day(s),L1,Dogs 303 B6,Available,L1,M,A0059062583,-
1252,1211003986569620,34,06 year(s) 00 month(s) 22 day(s),L3-SF,Foster Foster Home,Available,L3,M,A0059059299,-
1253,1211003986569628,34,06 year(s) 00 month(s) 22 day(s),L3-SF,Foster Foster Home,Available,L3,M,A0059059299,-
1254,1211003905120948,37,01 year(s) 00 month(s) 22 day(s),L2-SF,Dogs 066 B3,Available,L2,F,A0059057788,-
1255,1211003906791948,37,01 year(s) 00 month(s) 22 day(s),L2-SF,Dogs 066 B3,Available,L2,F,A0059057788,-
1256,1210993882638653,64,04 year(s) 09 month(s) 03 day(s),L1,Dogs 501 2,Priority,L1,M,A0059060477,-
1257,1210993882638661,64,04 year(s) 09 month(s) 03 day(s),L1,Dogs 501 2,Priority,L1,M,A0059060477,-
1258,1210994060369491,27,02 year(s) 00 month(s) 22 day(s),STAFF ONLY,Foster Trial Adoption,Trial Adoption,STAFF ONLY,N,A0059057737,+
1259,1210994060369499,27,02 year(s) 00 month(s) 22 day(s),STAFF ONLY,Foster Trial Adoption,Trial Adoption,STAFF ONLY,N,A0059057737,+
1260,1210993881161221,46,05 year(s) 00 month(s) 23 day(s),L2-SF,Dogs 602 2,Priority,L2,F,A0059053543,+
1261,1210993881161229,46,05 year(s) 00 month(s) 23 day(s),L2-SF,Dogs 602 2,Priority,L2,F,A0059053543,+
1262,1210994058953613,31,00 year(s) 08 month(s) 23 day(s),L1,Dogs 502 C4,Available,L1,F,A0059053506,-
1263,1210994059716384,31,00 year(s) 08 month(s) 23 day(s),L1,Dogs 502 C4,Available,L1,F,A0059053506,-
1264,1210993991410073,36,03 year(s) 00 month(s) 23 day(s),L2-SF,Dogs 067 B3,Available,L2,M,A0059048069,-
1265,1210993991410081,36,03 year(s) 00 month(s) 23 day(s),L2-SF,Dogs 067 B3,Available,L2,M,A0059048069,-
1266,1210993880962936,40,03 year(s) 00 month(s) 24 day(s),L2-SF,Dogs 079 B4,Available,L2,F,A0059050743,-
1267,1210993880962944,40,03 year(s) 00 month(s) 24 day(s),L2-SF,Dogs 079 B4,Available,L2,F,A0059050743,-
1268,1210993880907997,38,02 year(s) 00 month(s) 08 day(s),L1-2025009795,Dogs 081 A9,Available,L1,F,A0059047525,-
1269,1210993880908005,38,02 year(s) 00 month(s) 08 day(s),L1-2025009795,Dogs 081 A9,Available,L1,F,A0059047525,-
1270,1210994059370981,70,02 year(s) 00 month(s) 23 day(s),L1,Dogs 401 3,Available,L1,N,A0059045973,-
1271,1210994059370989,70,02 year(s) 00 month(s) 23 day(s),L1,Dogs 401 3,Available,L1,N,A0059045973,-
1272,1210994059344596,56,06 year(s) 00 month(s) 23 day(s),L1,Puppy 48 1,Priority,L1,N,A0059047527,-
1273,1210994059344604,56,06 year(s) 00 month(s) 23 day(s),L1,Puppy 48 1,Priority,L1,N,A0059047527,-
1274,1210993991346523,53,06 year(s) 00 month(s) 23 day(s),L1,Puppy 48 1,Priority,L1,F,A0059047534,-
1275,1210993991346531,53,06 year(s) 00 month(s) 23 day(s),L1,Puppy 48 1,Priority,L1,F,A0059047534,-
1276,1210993880845288,23,00 year(s) 06 month(s) 24 day(s),L1,Dogs 502 C2,Available,L1,F,A0059045111,-
1277,1210993880845296,23,00 year(s) 06 month(s) 24 day(s),L1,Dogs 502 C2,Available,L1,F,A0059045111,-
1278,1210993991136274,59,04 year(s) 00 month(s) 24 day(s),L2-SF,Foster Foster Home,Available,L2,F,A0059044513,+
1279,1210993991136282,59,04 year(s) 00 month(s) 24 day(s),L2-SF,Foster Foster Home,Available,L2,F,A0059044513,+
1280,1210993991134661,65,08 year(s) 06 month(s) 09 day(s),L1     A861954,Foster Foster Home,Available,L1,S,A0053600249,+
1281,1210993991134669,65,08 year(s) 06 month(s) 09 day(s),L1     A861954,Foster Foster Home,Available,L1,S,A0053600249,+
1282,1210993991189826,25,00 year(s) 07 month(s) 24 day(s),L1,Foster Foster Home,Available,L1,M,A0059045109,-
1283,1210993991189834,25,00 year(s) 07 month(s) 24 day(s),L1,Foster Foster Home,Available,L1,M,A0059045109,-
