"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0060623663","Dog","Browny","04 year(s) 00 month(s) 19 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Featured Dogs","58","3/14/2022 12:00 AM","F","65","3","3/13/2026 11:43 AM","L1-V","941010004083368"
"A0060624985","Dog","Loki","00 year(s) 05 month(s) 17 day(s)"," Fawn Terrier, Pit Bull / Mix","Available","Receiving 130","19","10/16/2025 12:00 AM","N","34","1","4/2/2026 10:00 AM","L2 SF","941010004061599"
"A0060625717","Dog","Three","03 year(s) 00 month(s) 20 day(s)"," Tan Terrier, Pit Bull / Mix","Available","Dogs 306","B3","3/13/2023 12:00 AM","N","55","1","3/20/2026 02:04 PM","L1","941010004788334"
"A0060625834","Dog","Bluey Pooh","02 year(s) 00 month(s) 19 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 306","B5","3/14/2024 12:00 AM","S","48","3","3/13/2026 02:50 PM","L2-OA","941010002127107"
"A0060627215","Dog","Blast","03 year(s) 00 month(s) 19 day(s)"," White / Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Puppy 47","2","3/14/2023 12:00 AM","F","42.6","2","3/13/2026 05:07 PM","L3 SF","985113008405510"
"A0060627228","Dog","Baja","14 year(s) 00 month(s) 19 day(s)"," Tan / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Puppy 47","2","3/14/2012 12:00 AM","F","46","3","3/13/2026 05:07 PM","L2-SF","941010004087744"
"A0060627745","Dog","Clay Co.","06 year(s) 00 month(s) 18 day(s)"," Blue / White Terrier, American Pit Bull / Mix","Stray Wait","Dogs 603","A1","3/15/2020 12:00 AM","M","62","3","3/13/2026 05:30 PM","L2-SF","941010004071347"
"A0060627835","Dog","Hendrix","01 year(s) 06 month(s) 20 day(s)"," Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 306","A7","9/13/2024 12:00 AM","N","63.2","1","3/13/2026 08:00 PM","L1","941010004135114"
"A0060628186","Dog","Eliza - ADOPTED","00 year(s) 07 month(s) 18 day(s)"," Grey / White Terrier, Pit Bull / Mix","Trial Adoption","Foster","Trial Adoption","8/15/2025 12:00 AM","S","23.6","1","3/14/2026 08:35 AM","L1","941010004122137"
"A0060629751","Cat","Kiwi",""," Grey / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","","F","0.5","1","3/14/2026 12:00 PM","",""
"A0060629754","Cat","Grape",""," Grey / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","","M","0.6","1","3/14/2026 12:00 PM","",""
"A0060629760","Cat","Mango",""," Grey / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","","M","0.5","1","3/14/2026 12:00 PM","",""
"A0060630375","Dog","Caramel Swirl -ADOPTED","06 year(s) 00 month(s) 18 day(s)"," Sandy Mixed Breed, Small (under 24 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","3/15/2020 12:00 AM","S","11.2","1","3/14/2026 03:18 PM","L1","941010004019457"
"A0060630466","Dog","Chimichurri","00 year(s) 11 month(s) 15 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 068","C2","4/18/2025 12:00 AM","N","27.6","3","3/14/2026 03:26 PM","L1","941010004138343"
"A0060631394","Dog","Saver","01 year(s) 06 month(s) 16 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 088","B9","9/17/2024 12:00 AM","F","56","3","3/14/2026 10:33 PM","L1","981020055818110"
"A0060631620","Dog","Bunty","07 year(s) 00 month(s) 18 day(s)"," Grey / White Terrier, Pit Bull / Mix","Priority","Dogs 602","3","3/15/2019 12:00 AM","M","70.2","3","3/15/2026 11:08 AM","L3-OA/JM","941010004615629"
"A0060631797","Dog","Senpai","03 year(s) 00 month(s) 17 day(s)"," White / Black Terrier, American Pit Bull / Mix","Stray Wait","Dogs 088","B2","3/16/2023 12:00 AM","M","55","3","3/15/2026 12:24 PM","L2 A","941010004072905"
"A0060632038","Dog","Oldie B Goodie","12 year(s) 00 month(s) 17 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Dogs 602","1","3/16/2014 12:00 AM","M","46.6","2","3/15/2026 12:48 PM","L2 SF","941010004050101"
"A0060632226","Cat","Riker","00 year(s) 07 month(s) 18 day(s)","Tuxedo Black / White Domestic Shorthair / Mix","Available","Foster","Foster Home","8/15/2025 12:00 AM","N","7.1","1","3/15/2026 01:21 PM","L1","941010004018890"
"A0060633544","Dog","Billie - ADOPTED","00 year(s) 02 month(s) 14 day(s)"," Brown Dachshund, Miniature Long Haired / Mix","Adopted","Foster","Pre-Fix","1/19/2026 12:00 AM","F","2.2","1","3/15/2026 11:15 PM","L1","941010004732703"
"A0060633687","Dog","Kazaam","07 year(s) 00 month(s) 17 day(s)"," Black / Brown Shepherd / Mix","Stray Wait","Flex","83","3/16/2019 12:00 AM","M","58","3","3/16/2026 05:07 AM","L1","941010004069623"
"A0060635924","Dog","Flaco","03 year(s) 00 month(s) 16 day(s)"," Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 088","A5","3/17/2023 12:00 AM","N","43","3","3/16/2026 01:01 PM","L2-SF","941010004757560"
"A0060636406","Dog","Murphy","00 year(s) 08 month(s) 16 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 506","B3","7/17/2025 12:00 AM","N","45.8","3","3/16/2026 01:57 PM","L1","941010004779509"
"A0060636689","Dog","Chickie - ADOPTED","05 year(s) 00 month(s) 16 day(s)"," Grey / White Terrier, American Pit Bull / Mix","Trial Adoption","Foster","Trial Adoption","3/17/2021 12:00 AM","M","65.6","3","3/17/2026 07:16 AM","L1","941010004738438"
"A0060637680","Cat","Temper",""," Grey Domestic Shorthair / Mix","Bite Quarantine","Cat Intake 043","6","","U","","1","3/16/2026 03:07 PM","STAFF ONLY",""
"A0060637756","Cat","Balu","05 year(s) 00 month(s) 17 day(s)"," Black / White Domestic Shorthair / Mix","Available","Cat Intake 044","5","3/16/2021 12:00 AM","S","11","1","3/16/2026 04:16 PM","STAFF ONLY",""
"A0060638932","Dog","Casimiro","03 year(s) 06 month(s) 17 day(s)"," White / Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 606","A2","9/16/2022 12:00 AM","S","43","3","3/16/2026 09:20 PM","L1","941010004736030"
"A0060638976","Dog","Porsche","01 year(s) 07 month(s) 13 day(s)"," Black / Brown Alaskan Husky / Mix","Available","Dogs 068","A4","8/20/2024 12:00 AM","S","38","3","3/16/2026 10:00 PM","L1","941010005051211"
"A0060640260","Dog","Hunk","02 year(s) 06 month(s) 15 day(s)"," Brown Terrier, Pit Bull","Available","Dogs 088","A6","9/18/2023 12:00 AM","N","48.2","3","3/17/2026 11:24 AM","L1","941010004498493"
"A0060641540","Dog","Rocky -ADOPTED","00 year(s) 06 month(s) 14 day(s)"," Grey / Brown Cane Corso / Poodle, Standard","Trial Adoption","Foster","Trial Adoption","9/19/2025 12:00 AM","N","57","1","3/17/2026 12:45 PM","L2-BH","941010004728932"
"A0060641862","Dog","Wesley","01 year(s) 00 month(s) 15 day(s)"," Tan Retriever / Mix","Available","Dogs 081","A5","3/18/2025 12:00 AM","N","52.8","3","3/17/2026 01:27 PM","L1","941010004771468"
