"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0059098443","Dog","Doppler","04 year(s) 07 month(s) 20 day(s)"," Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/13/2021 12:00 AM","N","49","3","8/12/2025 05:53 PM","L3 - SF","941010004224993"
"A0059100213","Dog","Rufus","10 year(s) 07 month(s) 19 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","8/14/2015 12:00 AM","N","59","3","8/13/2025 10:20 AM","L2 - A","991003911515638"
"A0059101670","Dog","Coolio","05 year(s) 07 month(s) 18 day(s)"," Black / Brindle Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/15/2020 12:00 AM","N","65.8","3","8/13/2025 12:28 PM","L2-OA","941010002325028"
"A0059114517","Dog","Tweety","01 year(s) 07 month(s) 17 day(s)"," Sandy Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/16/2024 12:00 AM","S","106","3","8/14/2025 08:00 PM","L1","941010003620069"
"A0059116037","Dog","Symphony","01 year(s) 05 month(s) 17 day(s)"," Black / White Terrier, American Staffordshire / Mix","Available","Foster","Foster Home","10/16/2024 12:00 AM","S","32","3","8/15/2025 11:28 AM","L1","941010003671133"
"A0059117737","Dog","Bob","07 year(s) 07 month(s) 13 day(s)"," Tan / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","8/20/2018 12:00 AM","N","54","3","10/6/2025 11:45 AM","L1","941010003634818"
"A0059121809","Dog","Leelah","03 year(s) 07 month(s) 12 day(s)"," Tan / White Terrier, Staffordshire Bull / Mix","Available","Foster","Foster Home","8/21/2022 12:00 AM","S","47","3","8/16/2025 09:51 AM","L2-OA","941010004217275"
"A0059193088","Dog","Beezy","05 year(s) 07 month(s) 14 day(s)"," Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/19/2020 12:00 AM","S","42","3","8/18/2025 07:09 PM","L2-BR","941010003998001"
"A0059193435","Dog","Tonka","05 year(s) 07 month(s) 14 day(s)"," Brindle / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","8/19/2020 12:00 AM","N","52.2","3","8/18/2025 10:51 PM","L1","941010004111994"
"A0059201841","Dog","Glo","01 year(s) 04 month(s) 13 day(s)","Spotted White / Black Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/20/2024 12:00 AM","S","40","3","8/19/2025 10:35 PM","L1","941010003631392"
"A0059205909","Dog","Roscoe","00 year(s) 11 month(s) 11 day(s)"," White / Brown German Shepherd / Mix","Priority","Dogs 301","2","4/22/2025 12:00 AM","N","65.6","1","2/17/2026 11:47 AM","L3-SF","941010004137180"
"A0059209398","Dog","Gerald","03 year(s) 07 month(s) 12 day(s)"," Brown Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","8/21/2022 12:00 AM","N","40.4","3","8/20/2025 09:34 PM","L1","941010004004298"
"A0059209562","Dog","Odit","02 year(s) 07 month(s) 11 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","8/22/2023 12:00 AM","M","54.6","3","8/20/2025 10:07 PM","L2-OA","941010003683877"
"A0059223836","Dog","Bader","01 year(s) 07 month(s) 10 day(s)"," Brown / White Terrier, Pit Bull / Mix","Priority","Dogs 081","B10","8/23/2024 12:00 AM","N","51.4","3","3/28/2026 01:26 PM","L3-OA/JM","941010003686754"
"A0059223851","Dog","Lima","02 year(s) 07 month(s) 10 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Foster","Foster Home","8/23/2023 12:00 AM","S","40","3","8/22/2025 06:35 PM","L3-SF","941010003625586"
"A0059240909","Dog","Keeshond","02 year(s) 07 month(s) 06 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","8/27/2023 12:00 AM","N","53","3","8/26/2025 01:19 PM","L1","941010003675874"
"A0059242581","Dog","Dolce","02 year(s) 07 month(s) 06 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Urgent","Foster","Foster Home","8/27/2023 12:00 AM","N","55.4","3","1/27/2026 08:36 PM","L2-OA/RG","941010003479933"
"A0059257262","Dog","Babes","02 year(s) 07 month(s) 04 day(s)"," Tan Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","8/29/2023 12:00 AM","S","50","3","8/28/2025 01:44 PM","L2-RG/BR","941010004220349"
"A0059259739","Dog","Peppa","04 year(s) 06 month(s) 28 day(s)"," Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","9/5/2021 12:00 AM","S","48","3","9/4/2025 05:21 PM","L2-SF","985113006051343"
"A0059261979","Dog","Gyro","05 year(s) 07 month(s) 04 day(s)"," Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Urgent","Foster","Foster Home","8/29/2020 12:00 AM","N","57","3","8/28/2025 10:07 PM","L2-BH","941010004063425"
"A0059264238","Dog","Spice","12 year(s) 07 month(s) 03 day(s)"," Black / Brown German Shepherd / Mix","Priority","Flex","82","8/30/2013 12:00 AM","F","61.8","3","2/15/2026 11:19 AM","L2-BH","982126059841731"
"A0059264248","Dog","Brownie","07 year(s) 07 month(s) 03 day(s)"," Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Flex","82","8/30/2018 12:00 AM","S","70.2","3","2/15/2026 11:19 AM","L2-SF","941010003638156"
"A0059265558","Dog","AVALANCHE","06 year(s) 07 month(s) 04 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","8/29/2019 12:00 AM","S","70","3","8/29/2025 02:51 PM","L2-SF/BH/H","941010004398032"
"A0059275577","Dog","Burnt Cheese","07 year(s) 07 month(s) 01 day(s)"," Black / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","9/1/2018 12:00 AM","N","71","3","8/31/2025 06:37 PM","L2 - LB","982126055440535"
"A0059281698","Dog","Dalton","03 year(s) 06 month(s) 30 day(s)"," Blond / Black German Shepherd / Mix","Available","Foster","Foster Home","9/3/2022 12:00 AM","N","56","3","9/2/2025 01:56 PM","L3- H/ SF","941010004130188"
"A0059290504","Dog","Zena","03 year(s) 06 month(s) 30 day(s)"," Tan / White Terrier, Pit Bull / Mix","Available","Dogs 081","B1","9/3/2022 12:00 AM","S","59.4","3","2/14/2026 02:02 PM","L2-SD","941010004401413"
"A0059293093","Dog","Kuzco- ADOPTED","03 year(s) 06 month(s) 29 day(s)"," Brindle / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Adopted","Foster","Pre-Fix","9/4/2022 12:00 AM","M","69","3","9/3/2025 07:59 PM","L2-A",""
"A0059304406","Dog","Milah","01 year(s) 06 month(s) 28 day(s)"," Tan Retriever, Labrador / Mix","Urgent","Foster","Foster Home","9/5/2024 12:00 AM","S","48","3","9/26/2025 02:41 PM","L2 - BH","941010004179074"
"A0059305155","Dog","Susan Da Dog","07 year(s) 06 month(s) 27 day(s)"," Brown Terrier, Pit Bull / Mix","Available","Foster","Foster Home","9/6/2018 12:00 AM","S","36","3","9/5/2025 02:06 PM","L1","941010004222599"
"A0059314264","Dog","Bing Bong","03 year(s) 06 month(s) 25 day(s)"," Grey / White Terrier, American Pit Bull / Mix","Urgent","Foster","Foster Home","9/8/2022 12:00 AM","S","42","3","9/7/2025 03:28 PM","L1","941010004208469"
"A0059338894","Dog","Yoshi","03 year(s) 06 month(s) 22 day(s)"," Black / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/11/2022 12:00 AM","S","43","3","9/11/2025 09:06 AM","L1","985113008073078"
"A0059343335","Dog","Lemon","02 year(s) 05 month(s) 25 day(s)"," Brown / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Urgent","Foster","Foster Home","10/8/2023 12:00 AM","N","52","3","12/9/2025 02:39 PM","L3 - SF","941010004216190"
"A0059343758","Dog","Clipper","01 year(s) 06 month(s) 21 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","9/12/2024 12:00 AM","N","63","3","3/7/2026 02:34 PM","L1","941010004169348"
"A0059356861","Dog","Stella","06 year(s) 05 month(s) 26 day(s)"," Tan / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","10/7/2019 12:00 AM","S","52.8","3","9/13/2025 06:32 PM","L3-SF","941010005057507"
"A0059365101","Dog","Victory","03 year(s) 04 month(s) 27 day(s)"," Black / White Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","11/6/2022 12:00 AM","N","63","3","9/15/2025 04:35 PM","L3-OA","941010004192541"
"A0059375376","Dog","Thing 3","01 year(s) 05 month(s) 16 day(s)"," White / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/17/2024 12:00 AM","S","37","3","9/16/2025 11:02 PM","L3-SF","941010004230532"
"A0059380817","Dog","Darla","03 year(s) 06 month(s) 14 day(s)"," Brindle Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","9/19/2022 12:00 AM","S","71.4","3","9/17/2025 04:34 PM","L2-LR","981020055447570"
"A0059387271","Dog","Gourmet","05 year(s) 06 month(s) 14 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","9/19/2020 12:00 AM","N","68","3","9/18/2025 02:14 PM","L2-LR","941010004199196"
"A0059390862","Dog","Petey","02 year(s) 06 month(s) 14 day(s)"," Tan / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/19/2023 12:00 AM","N","50","3","9/18/2025 09:23 PM","L3-LR/OA","941010004195932"
"A0059397798","Dog","Little Foot","05 year(s) 06 month(s) 13 day(s)","Merle Brown Catahoula Leopard dog / Mix","Urgent","Foster","Foster Home","9/20/2020 12:00 AM","N","46","3","9/20/2025 12:39 AM","L1","900235000841407"
"A0059399658","Dog","Truce","03 year(s) 06 month(s) 12 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","9/21/2022 12:00 AM","N","61","3","9/20/2025 01:51 PM","L1","985113008805316"
"A0059401825","Dog","Tyrique","06 year(s) 06 month(s) 12 day(s)"," Black / White Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","9/21/2019 12:00 AM","N","60.1","3","9/20/2025 10:05 PM","L1","941010004231800"
"A0059404011","Dog","Pup Pup","01 year(s) 04 month(s) 11 day(s)"," White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 406","A6","11/22/2024 12:00 AM","N","44.2","3","2/21/2026 10:49 PM","L1","941010004110523"
"A0059406448","Dog","Glacier","00 year(s) 06 month(s) 12 day(s)"," White / Black Bulldog, French","Court","Foster","Foster Home","9/21/2025 12:00 AM","M","4.4","1","9/21/2025 05:00 PM","L1",""
"A0059406474","Dog","Arctic","00 year(s) 06 month(s) 12 day(s)"," White Bulldog, French / Mix","Court","Foster","Foster Home","9/21/2025 12:00 AM","M","13.8","1","9/21/2025 05:00 PM","",""
"A0059420470","Dog","Tiya","12 year(s) 04 month(s) 14 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","11/19/2013 12:00 AM","S","50.6","1","9/24/2025 10:50 AM","L3-SF","941010004201860"
"A0059422620","Dog","Scarface-Capone","03 year(s) 06 month(s) 08 day(s)"," White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/25/2022 12:00 AM","N","48","3","1/6/2026 11:56 AM","L2-A","941010004386775"
"A0059426615","Dog","Zip","00 year(s) 09 month(s) 08 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dog Quarantine","B7","6/25/2025 12:00 AM","F","37.2","2","9/24/2025 08:07 PM","L1",""
"A0059426616","Dog","Zap","00 year(s) 11 month(s) 08 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dog Quarantine","B7","4/25/2025 12:00 AM","F","40.4","3","9/24/2025 08:07 PM","L1 - EA",""
"A0059426622","Dog","Zop","00 year(s) 10 month(s) 09 day(s)"," Tan Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dog Quarantine","B4","5/24/2025 12:00 AM","M","15.4","1","9/24/2025 08:07 PM","L1","941010004209165"
"A0059426629","Dog","Tip","02 year(s) 06 month(s) 08 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dog Quarantine","A8","9/25/2023 12:00 AM","F","48.2","3","9/24/2025 08:07 PM","L3 BR",""
"A0059426630","Dog","Tap","02 year(s) 06 month(s) 08 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dogs 203","9","9/25/2023 12:00 AM","F","51","1","9/24/2025 08:07 PM","L1",""
"A0059426640","Dog","Top","03 year(s) 06 month(s) 08 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dogs 204","1","9/25/2022 12:00 AM","M","60.2","1","9/24/2025 08:07 PM","L2-OA",""
"A0059434792","Dog","Cane","03 year(s) 06 month(s) 07 day(s)"," Black / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Bite Quarantine - Not Visible","Foster","Foster Home","9/26/2022 12:00 AM","N","63.4","3","9/25/2025 10:47 PM","L1","941010004241008"
"A0059446971","Dog","Mabel","03 year(s) 06 month(s) 04 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/29/2022 12:00 AM","S","42.6","3","9/28/2025 12:41 PM","L2-OA","941010004189452"
"A0059452021","Dog","Pomegranate","04 year(s) 06 month(s) 03 day(s)"," White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/30/2021 12:00 AM","S","54.2","3","9/29/2025 02:37 PM","L1","941010004169642"
"A0059455100","Dog","Watermelon","03 year(s) 11 month(s) 29 day(s)"," Grey / White Terrier, Pit Bull / Mix","Available","Dogs 067","B2","4/4/2022 12:00 AM","N","62","3","3/25/2026 04:56 PM","L1","991003001431588"
"A0059455160","Dog","Cochito","01 year(s) 01 month(s) 00 day(s)"," Tan Terrier, Pit Bull / Mix","Available","Foster","Foster Home","3/2/2025 12:00 AM","S","29.6","2","9/29/2025 06:54 PM","L1","941010004169778"
"A0059462524","Dog","Supernova","10 year(s) 06 month(s) 01 day(s)"," Tan Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/1/2015 12:00 AM","S","25.4","3","9/30/2025 04:35 PM","L1",""
"A0059532420","Dog","Pugsley","03 year(s) 05 month(s) 30 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/3/2022 12:00 AM","N","36","3","10/2/2025 06:08 PM","L3-SF","941010004169028"
"A0059533461","Dog","Moose","02 year(s) 05 month(s) 30 day(s)"," White / Black Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","10/3/2023 12:00 AM","N","52.4","3","10/2/2025 11:25 PM","L2-SF/BR","941010004669737"
"A0059536665","Dog","Ms.Parker","06 year(s) 05 month(s) 23 day(s)"," Black Cur, Mountain / Retriever, Labrador","Available","Foster","Foster Home","10/10/2019 12:00 AM","S","40","3","10/3/2025 01:47 PM","L1","941010004029306"
"A0059543487","Dog","Whilmer","06 year(s) 05 month(s) 28 day(s)"," White / Black Terrier, Pit Bull / Mix","Available","Dogs 068","A1","10/5/2019 12:00 AM","N","58","3","10/4/2025 04:31 PM","L1","941010004427453"
"A0059546093","Dog","HUDSON","06 year(s) 11 month(s) 00 day(s)"," Black / Brown German Shepherd / Mix","Available","Foster","Foster Home","5/2/2019 12:00 AM","N","75","3","10/10/2025 01:14 PM","L2 - SF",""
"A0059560945","Dog","Whoopty","01 year(s) 05 month(s) 25 day(s)"," White / Black Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","10/8/2024 12:00 AM","N","67","3","10/7/2025 06:29 PM","L3-OA","941010004087840"
"A0059562812","Dog","Liz","05 year(s) 05 month(s) 24 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","10/9/2020 12:00 AM","S","47","3","10/8/2025 11:10 AM","L1","941010004059323"
"A0059585503","Dog","Clyde","01 year(s) 05 month(s) 21 day(s)"," Black / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/12/2024 12:00 AM","N","13.6","3","2/21/2026 11:32 AM","L2-SF","941010004074695"
"A0059588090","Dog","Kadaffi","07 year(s) 05 month(s) 21 day(s)"," White Bulldog, American / Mix","Pending Behavior Assessment","Dogs 203","5","10/12/2018 12:00 AM","M","95","1","3/4/2026 03:46 PM","STAFF ONLY",""
"A0059588960","Dog","Tammy","02 year(s) 05 month(s) 20 day(s)"," Brown / Brindle Cane Corso / Mix","Microchip","Dogs 403","A5","10/13/2023 12:00 AM","S","84.2","2","3/27/2026 03:06 PM","L2-SF","985113009989632"
"A0059599608","Dog","Cup Noodles","02 year(s) 03 month(s) 13 day(s)"," Blond Terrier, Pit Bull / Mix","Available","Foster","Foster Home","12/20/2023 12:00 AM","N","65.2","3","10/15/2025 04:44 PM","L2-SF","941010004361962"
"A0059600554","Dog","Kuzco","07 year(s) 05 month(s) 07 day(s)"," White / Brown Bully American  - Standard / Mix","Priority","Foster","Foster Home","10/26/2018 12:00 AM","N","56","3","10/14/2025 02:50 PM","L2 - BH","941010004977394"
"A0059609564","Cat","Squire","00 year(s) 10 month(s) 17 day(s)"," Grey Domestic Shorthair / Mix","Available","Foster","Foster Home","5/16/2025 12:00 AM","S","3.9","1","10/15/2025 02:49 PM","L2-SF","941010004190314"
"A0059619501","Dog","Latte","06 year(s) 05 month(s) 16 day(s)"," Brown Terrier, American Pit Bull / Mix","Priority","Foster","Foster Home","10/17/2019 12:00 AM","S","57","3","10/16/2025 07:54 PM","L1","941010004355248"
"A0059628706","Dog","Willie","02 year(s) 05 month(s) 14 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/19/2023 12:00 AM","N","70.4","3","10/18/2025 12:10 PM","L2-OA","941010004366402"
"A0059637847","Dog","Cheyenne","03 year(s) 05 month(s) 10 day(s)"," Grey / White Terrier, Pit Bull / Mix","Pending Medical Assessment/Treatment","Foster","Foster Home","10/23/2022 12:00 AM","S","49.4","3","10/20/2025 02:30 PM","L1","941010004415363"
"A0059640015","Dog","Jumper","12 year(s) 05 month(s) 12 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/21/2013 12:00 AM","N","67","3","10/20/2025 04:29 PM","L1","985112007760456"
"A0059640030","Dog","Cooper","04 year(s) 05 month(s) 12 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Urgent","Foster","Foster Home","10/21/2021 12:00 AM","N","60.4","3","10/20/2025 04:29 PM","L2-BR","981020035631915"
"A0059648947","Dog","Nibbles","01 year(s) 04 month(s) 11 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Urgent","Foster","Foster Home","11/22/2024 12:00 AM","N","37.8","3","10/21/2025 05:01 PM","L1","941010004419833"
"A0059658007","Dog","Bingo from Bluey","02 year(s) 05 month(s) 10 day(s)"," White / Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/23/2023 12:00 AM","N","36.6","3","12/23/2025 02:24 PM","L2 SF","941010004557747"
"A0059668396","Dog","Nanny May","08 year(s) 05 month(s) 08 day(s)"," Grey / White Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","10/25/2017 12:00 AM","S","48","3","10/24/2025 02:22 PM","L2 - BH","941010004379653"
"A0059668887","Dog","Winter","04 year(s) 05 month(s) 08 day(s)","Spotted White / Black Terrier, Pit Bull / Mix","Available","Foster","Foster Home","10/25/2021 12:00 AM","S","46","3","10/24/2025 02:15 PM","L1",""
"A0059673276","Dog","Yoda","01 year(s) 05 month(s) 07 day(s)"," Black / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/26/2024 12:00 AM","N","44","3","10/25/2025 12:47 PM","L1","941010004361411"
"A0059673526","Dog","Pixel","03 year(s) 05 month(s) 07 day(s)"," White / Red Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","10/26/2022 12:00 AM","N","51.6","3","10/25/2025 01:02 PM","L1","941010004344725"
"A0059675889","Dog","Mona","10 year(s) 05 month(s) 07 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","10/26/2015 12:00 AM","F","56.2","3","10/25/2025 11:23 PM","L2-SF",""
"A0059675890","Dog","Penelope","13 year(s) 05 month(s) 07 day(s)"," Grey / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","10/26/2012 12:00 AM","F","85","3","10/25/2025 11:26 PM","L2-SF",""
"A0059677700","Dog","Nami","01 year(s) 05 month(s) 06 day(s)"," Black Retriever, Labrador / Mix","Priority","Dogs 064","B1","10/27/2024 12:00 AM","S","38.6","3","1/30/2026 01:34 PM","L1","941010004432964"
"A0059683353","Dog","Heffalump","05 year(s) 05 month(s) 05 day(s)"," Black / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","10/28/2020 12:00 AM","S","68","3","10/27/2025 04:15 PM","L2-SF/A/ OD","941010004448180"
"A0059684070","Dog","Suga","06 year(s) 05 month(s) 04 day(s)"," Tan / White Terrier, Pit Bull / Mix","Priority","Foster","Foster Home","10/29/2019 12:00 AM","S","54","3","10/28/2025 02:09 PM","L1","941010004168243"
"A0059688884","Dog","Faerun","05 year(s) 05 month(s) 04 day(s)"," Black / White Terrier, Pit Bull / Siberian Husky","Available","Foster","Foster Home","10/29/2020 12:00 AM","S","49","3","10/28/2025 02:05 PM","L1-EA","985113007939879"
"A0059702236","Dog","Judge","02 year(s) 05 month(s) 03 day(s)"," Brown / White Terrier, Pit Bull","Urgent","Foster","Foster Home","10/30/2023 12:00 AM","N","62","3","10/30/2025 12:31 PM","L1","941010004177570"
"A0059702289","Dog","Midnight - ADOPTED","01 year(s) 05 month(s) 02 day(s)"," Black Retriever, Labrador / Mix","Trial Adoption","Foster","Trial Adoption","10/31/2024 12:00 AM","S","45.8","1","2/24/2026 07:19 PM","L1","941010004238460"
"A0059702901","Dog","Brisket","00 year(s) 08 month(s) 02 day(s)"," Black Terrier, Pit Bull / Mix","Available","Dogs 068","B1","7/31/2025 12:00 AM","N","52","3","2/28/2026 12:01 PM","L1","941010004215488"
"A0059711167","Dog","Simba","02 year(s) 05 month(s) 01 day(s)"," Brown / White Terrier, Pit Bull / Mix","Urgent","Foster","Foster Home","11/1/2023 12:00 AM","N","40.4","3","10/31/2025 01:17 PM","L1","985112012546697"
"A0059714732","Dog","Sweetie","04 year(s) 05 month(s) 00 day(s)","Brindle Brown / Black Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/2/2021 12:00 AM","S","35.8","3","11/1/2025 09:41 AM","L1","941010004055159"
"A0059716525","Dog","Lillypad","06 year(s) 05 month(s) 00 day(s)"," Grey / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/2/2019 12:00 AM","S","57","3","11/1/2025 02:17 PM","L2-A","941010003983855"
"A0059719472","Dog","Gamora","02 year(s) 04 month(s) 30 day(s)"," Brindle Perro de Presa Canario / Mix","Court","Dogs 201","1","11/3/2023 12:00 AM","F","83","1","11/2/2025 02:14 PM","L3 BR",""
"A0059726356","Dog","George","04 year(s) 04 month(s) 29 day(s)"," Brindle / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/4/2021 12:00 AM","N","45","3","11/3/2025 09:27 PM","L1","941010004090725"
"A0059726360","Dog","Vixy","04 year(s) 04 month(s) 29 day(s)"," Brindle Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/4/2021 12:00 AM","S","44","3","11/3/2025 09:28 PM","L1","941010004186601"
"A0059728129","Dog","Croptop","03 year(s) 04 month(s) 28 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","11/5/2022 12:00 AM","N","59","3","11/4/2025 09:57 AM","L2-BR","941010004105151"
"A0059748554","Dog","Pumpkin - ADOPTED","01 year(s) 01 month(s) 26 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","2/7/2025 12:00 AM","N","43","3","3/25/2026 01:50 PM","L1","941010004943416"
"A0059753002","Dog","Fantasia","04 year(s) 04 month(s) 26 day(s)"," Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","11/7/2021 12:00 AM","S","48.6","3","11/7/2025 02:19 PM","L1","941010004247071"
"A0059755574","Dog","Frappe","00 year(s) 07 month(s) 28 day(s)"," Grey / Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix","Court","Dog ISO 155","A2","8/5/2025 12:00 AM","F","32.8","1","11/7/2025 07:47 PM","L1",""
"A0059755584","Dog","Latte","00 year(s) 07 month(s) 28 day(s)"," Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix","Court","Dog ISO 155","B2","8/5/2025 12:00 AM","F","33.8","1","11/7/2025 07:50 PM","L1",""
"A0059756103","Dog","Spinach","03 year(s) 04 month(s) 25 day(s)"," Tan / Black Cur, Black-Mouth / Mix","Pending Behavior Assessment","Dogs 301","6","11/8/2022 12:00 AM","N","","1","4/1/2026 11:45 AM","STAFF ONLY","985112012253031"
"A0059758023","Dog","Sly","05 year(s) 04 month(s) 24 day(s)"," Grey Terrier, Pit Bull / Mix","Priority","Foster","Foster Home","11/9/2020 12:00 AM","S","46","3","11/8/2025 03:24 PM","L1","941010004535606"
"A0059760339","Dog","Neal","02 year(s) 04 month(s) 23 day(s)"," Tan Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","11/10/2023 12:00 AM","N","34.6","3","11/9/2025 12:34 PM","L2-OA","985112012545510"
"A0059761809","Dog","Dolly Parton","03 year(s) 06 month(s) 09 day(s)"," Black / Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","9/24/2022 12:00 AM","F","46","3","11/9/2025 07:06 PM","L1","941010003986255"
"A0059765463","Dog","Blythe","02 year(s) 04 month(s) 22 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Priority","Foster","Foster Home","11/11/2023 12:00 AM","S","49.2","3","11/10/2025 02:15 PM","L2-SF","941010004921532"
"A0059767576","Dog","Astro","02 year(s) 04 month(s) 22 day(s)"," White / Black Terrier, American Pit Bull / Mix","Urgent","Dogs 067","B4","11/11/2023 12:00 AM","S","39","3","11/10/2025 05:19 PM","L2-RG/OA","941010004284705"
"A0059782879","Dog","Flanders","01 year(s) 04 month(s) 19 day(s)"," Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Urgent","Foster","Foster Home","11/14/2024 12:00 AM","N","57","3","11/13/2025 11:52 AM","L3-OA/LB","941010004183374"
"A0059786747","Domestic","",""," Black Fish / Fish","Available","Dog Visiting 063","C2","","U","","0","11/13/2025 04:49 PM","",""
"A0059796119","Dog","Norman","00 year(s) 11 month(s) 18 day(s)"," Brindle Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","4/15/2025 12:00 AM","N","62","3","11/15/2025 12:43 PM","L2-SF","941010004235851"
"A0059803596","Dog","O' Toole","03 year(s) 04 month(s) 16 day(s)"," Black / White Terrier, American Staffordshire / Mix","Priority","Foster","Foster Home","11/17/2022 12:00 AM","N","63","3","11/17/2025 12:45 PM","L2-OA","941010004384022"
